,name,album,artist,gender,country,continent,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,length,popularity
53,Daisies,Daisies,Katy Perry,female,USA,North America,0.639,0.546,1,-5.382,1,0.0407,0.0837,0.0,,0.149,,173124,4,2020-05-15,173123,76
54,Lose You - Chico Rose Remix,Lose You ,Tiësto,male,Netherlands,Europe,0.786,0.867,6,-4.333,0,0.0755,0.0564,0.00389,,0.243,,155214,4,2020-06-26,155213,42
55,ily  ,ily  ,Surf Mesa,male,USA,North America,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,,0.33,,176547,4,2019-11-26,176546,85
56,A Un Passo Dalla Luna,A Un Passo Dalla Luna,Rocco Hunt,male,Italy,Europe,0.755,0.78,10,-5.324,1,0.0429,0.39,0.0,,0.897,,167313,4,2020-07-03,167313,72
57,Dorado ,Dorado ,Mahmood,male,Italy,Europe,0.821,0.762,11,-3.276,0,0.0569,0.501,0.00117,,0.645,,178045,4,2020-07-09,178044,67
58,La Canzone Dell'Estate,La Canzone Dell'Estate,Luca Carboni,male,Italy,Europe,0.725,0.846,7,-2.879,0,0.0538,0.0122,0.0,,0.846,,201297,4,2020-07-10,201296,43
59,Caramelo,Caramelo,Ozuna,male,Puerto Rico,North America,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,,0.698,,217547,4,2020-06-11,217546,81
60,Me Gusta,Me Gusta,Shakira,female,Colombia,South America,0.775,0.696,1,-5.184,0,0.0681,0.0559,0.00184,,0.775,,190570,4,2020-01-13,190570,76
61,Love Me Land,Love Me Land,Zara Larsson,female,Sweden,Europe,0.302,0.481,2,-7.023,0,0.0625,0.0945,5.33e-06,,0.252,,159810,4,2020-07-10,159810,64
62,Jerusalema ,Jerusalema,Master KG,male,South Africa,Africa,0.88,0.483,1,-7.012,1,0.0505,0.0185,8.68e-06,,0.827,,342613,4,2020-01-24,342612,83
63,Superclassico,Gemelli,Ernia,male,Italy,Europe,0.623,0.663,11,-6.458,1,0.142,0.0624,4.49e-06,,0.346,,172200,4,2020-06-18,172200,73
64,Latina,Fortuna,Emma,female,Italy,Europe,0.682,0.852,11,-4.802,0,0.0762,0.0621,0.0,,0.39,,203685,4,2020-08-27,203685,5
65,Crepe,Crepe,Irama,male,Italy,Europe,0.698,0.886,7,-4.184,1,0.0447,0.122,0.0,,0.562,,167160,4,2020-08-28,167159,67
66,Ice Cream ,Ice Cream ,BLACKPINK,female,South Korea,Asia,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,,0.904,,175813,4,2020-08-28,175813,75
67,Tsunami,Tsunami,Annalisa,female,Italy,Europe,0.633,0.543,6,-6.842,1,0.0419,0.0684,0.0,,0.232,,225100,4,2020-09-04,225100,2
68,A Dónde Van,A Dónde Van,Sebastian Yatra,male,Colombia,South America,0.66,0.693,3,-4.773,0,0.189,0.0522,0.0,,0.814,,176267,4,2020-08-21,176266,65
69,Morositas ,Morositas ,Federica Carta,female,Italy,Europe,0.704,0.816,1,-4.937,0,0.0601,0.172,0.0,,0.95,,178106,4,2020-09-17,178106,44
70,Piña Colada ,Piña Colada ,Margherita Vicario,female,Italy,Europe,0.761,0.828,0,-5.611,1,0.182,0.207,0.0,,0.43,,206000,4,2020-07-09,206000,47
71,Don't Worry,Don't Worry,Boomdabash,male,Italy,Europe,0.749,0.747,0,-7.293,1,0.0596,0.131,0.0,,0.598,,186462,4,2020-11-12,186462,69
72,Eccaallà,Coraggio,Carl Brave,male,Italy,Europe,0.656,0.88,0,-3.686,1,0.217,0.183,1.99e-05,,0.881,,222200,3,2020-12-17,222200,55
73,Scooby Doo,Scooby Doo,Pinguini Tattici Nucleari,male,Italy,Europe,0.74,0.743,6,-4.166,1,0.137,0.0477,0.0,,0.773,,179125,4,2020-11-13,179124,71
